,perc_EV_replacements,perc_EV_nonrecall_replacements,perc_EV_recall,year,vehicle_ca_added,vehicle_ca_cum,batteries_replaced_unweighted,batteries_replaced_weighted,batteries_replaced_weighted_cum,price_per_kwh,cost_bat_replacement_kwh,payout_per_kwh_1yr
0,7.5,7.5,0.0,2011,3560,3560,128.16,267.0,267.0,576,153792.0,153792.0
1,3.8,3.8,0.0,2012,12327,15887,443.772,468.426,603.706,576,269813.38,269813.38
2,4.6,4.6,0.0,2013,27927,43814,1005.372,1284.642,2015.444,576,739953.79,739953.79
3,4.0,4.0,0.0,2014,34451,78265,1240.2359999999999,1378.04,3130.6,576,793751.04,793751.04
4,1.8,1.8,0.0,2015,31346,109611,1128.456,564.2280000000001,1972.9980000000003,576,324995.33,324995.33
5,0.7,0.7,0.0,2016,41940,151551,1509.84,293.58,1060.857,576,169102.08,169102.08
6,11.2,0.1,11.1,2017,77436,228987,2787.696,8672.832,25646.543999999998,576,4995551.23,4995551.23
7,2.0,0.7,1.3,2018,134174,363161,4830.263999999999,2683.48,7263.22,576,1545684.48,1545684.48
8,7.1,1.3,5.8,2019,109738,472899,3950.5679999999998,7791.397999999999,33575.829,576,4487845.25,4487845.25
9,1.8,0.8,1.0,2020,107460,580359,3868.5599999999995,1934.28,10446.462000000001,576,1114145.28,1114145.28
10,1.7,1.8,0.1,2021,199958,780317,7198.487999999999,3399.286,13265.389,576,1957988.74,1957988.74
11,0.6,0.4,0.2,2022,278153,1058470,10013.508,1668.918,6350.82,576,961296.77,961296.77
12,0.4,0.4,0.0,2023,278153,1336623,10013.508,1112.612,5346.492000000001,576,640864.51,
